입력 문장,도수,술 종류,맛
보드카 중에서 달달한 맛이 나는 걸 찾고 있어.,중간,보드카,달달한
가볍고 새콤한 칵테일 한 잔 하고 싶어요.,중간,칵테일,새콤한
도수가 낮은 새콤한 보드카 추천해줘.,낮은,보드카,새콤한
가볍고 쓴맛 보드카 한 잔 하고 싶어요.,높은,보드카,쓴맛
나는 달달한 보드카이(가) 좋아.,낮은,보드카,달달한
도수가 높은 새콤한 보드카 추천해줘.,높은,보드카,새콤한
중간 칵테일 중에서 달콤한 맛이 최고야.,중간,칵테일,달콤한
도수가 높은 새콤달콤한 보드카 추천해줘.,높은,보드카,새콤달콤한
칵테일 중에서 새콤한 맛이 나는 걸 찾고 있어.,낮은,칵테일,새콤한
친구랑 마실 달달한 보드카 추천 부탁해.,낮은,보드카,달달한
나는 새콤달콤한 보드카이(가) 좋아.,낮은,보드카,새콤달콤한
친구랑 마실 달콤한 보드카 추천 부탁해.,중간,보드카,달콤한
친구랑 마실 상쾌한 럼 추천 부탁해.,높은,럼,상쾌한
낮은 보드카 중에서 달달한 맛이 최고야.,낮은,보드카,달달한
보드카 중에서 상쾌한 맛이 나는 걸 찾고 있어.,중간,보드카,상쾌한
럼 중에서 쓴맛 맛이 나는 걸 찾고 있어.,중간,럼,쓴맛
도수가 중간 상쾌한 칵테일 추천해줘.,중간,칵테일,상쾌한
친구랑 마실 달콤한 보드카 추천 부탁해.,낮은,보드카,달콤한
도수가 높은 상쾌한 보드카 추천해줘.,높은,보드카,상쾌한
친구랑 마실 달달한 칵테일 추천 부탁해.,높은,칵테일,달달한
도수가 높은 상쾌한 럼 추천해줘.,높은,럼,상쾌한
나는 상쾌한 럼이(가) 좋아.,중간,럼,상쾌한
가볍고 쓴맛 보드카 한 잔 하고 싶어요.,중간,보드카,쓴맛
칵테일 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,낮은,칵테일,새콤달콤한
낮은 럼 중에서 쓴맛 맛이 최고야.,낮은,럼,쓴맛
높은 보드카 중에서 상쾌한 맛이 최고야.,높은,보드카,상쾌한
나는 쓴맛 보드카이(가) 좋아.,중간,보드카,쓴맛
친구랑 마실 쓴맛 칵테일 추천 부탁해.,높은,칵테일,쓴맛
도수가 높은 쓴맛 칵테일 추천해줘.,높은,칵테일,쓴맛
나는 달콤한 보드카이(가) 좋아.,높은,보드카,달콤한
럼 중에서 쓴맛 맛이 나는 걸 찾고 있어.,높은,럼,쓴맛
나는 상쾌한 보드카이(가) 좋아.,높은,보드카,상쾌한
보드카 중에서 달달한 맛이 나는 걸 찾고 있어.,낮은,보드카,달달한
가볍고 쓴맛 럼 한 잔 하고 싶어요.,낮은,럼,쓴맛
보드카 중에서 새콤한 맛이 나는 걸 찾고 있어.,중간,보드카,새콤한
중간 칵테일 중에서 새콤한 맛이 최고야.,중간,칵테일,새콤한
중간 럼 중에서 상쾌한 맛이 최고야.,중간,럼,상쾌한
친구랑 마실 쓴맛 보드카 추천 부탁해.,낮은,보드카,쓴맛
나는 달달한 보드카이(가) 좋아.,높은,보드카,달달한
나는 새콤한 럼이(가) 좋아.,높은,럼,새콤한
칵테일 중에서 달콤한 맛이 나는 걸 찾고 있어.,낮은,칵테일,달콤한
나는 상쾌한 보드카이(가) 좋아.,낮은,보드카,상쾌한
낮은 럼 중에서 쓴맛 맛이 최고야.,낮은,럼,쓴맛
도수가 높은 달달한 보드카 추천해줘.,높은,보드카,달달한
가볍고 달달한 칵테일 한 잔 하고 싶어요.,중간,칵테일,달달한
도수가 낮은 달달한 보드카 추천해줘.,낮은,보드카,달달한
친구랑 마실 새콤달콤한 보드카 추천 부탁해.,중간,보드카,새콤달콤한
낮은 칵테일 중에서 상쾌한 맛이 최고야.,낮은,칵테일,상쾌한
높은 칵테일 중에서 새콤달콤한 맛이 최고야.,높은,칵테일,새콤달콤한
나는 쓴맛 럼이(가) 좋아.,높은,럼,쓴맛
가볍고 새콤한 보드카 한 잔 하고 싶어요.,중간,보드카,새콤한
도수가 높은 새콤한 칵테일 추천해줘.,높은,칵테일,새콤한
칵테일 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,낮은,칵테일,새콤달콤한
가볍고 달콤한 보드카 한 잔 하고 싶어요.,높은,보드카,달콤한
보드카 중에서 달콤한 맛이 나는 걸 찾고 있어.,중간,보드카,달콤한
나는 달콤한 보드카이(가) 좋아.,높은,보드카,달콤한
친구랑 마실 새콤달콤한 보드카 추천 부탁해.,중간,보드카,새콤달콤한
나는 달달한 럼이(가) 좋아.,낮은,럼,달달한
도수가 낮은 새콤달콤한 럼 추천해줘.,낮은,럼,새콤달콤한
도수가 낮은 상쾌한 칵테일 추천해줘.,낮은,칵테일,상쾌한
가볍고 새콤한 보드카 한 잔 하고 싶어요.,높은,보드카,새콤한
가볍고 새콤한 칵테일 한 잔 하고 싶어요.,낮은,칵테일,새콤한
보드카 중에서 새콤한 맛이 나는 걸 찾고 있어.,낮은,보드카,새콤한
도수가 중간 새콤한 럼 추천해줘.,중간,럼,새콤한
가볍고 새콤한 럼 한 잔 하고 싶어요.,높은,럼,새콤한
칵테일 중에서 새콤한 맛이 나는 걸 찾고 있어.,낮은,칵테일,새콤한
나는 쓴맛 칵테일이(가) 좋아.,낮은,칵테일,쓴맛
나는 달콤한 칵테일이(가) 좋아.,중간,칵테일,달콤한
보드카 중에서 달콤한 맛이 나는 걸 찾고 있어.,낮은,보드카,달콤한
친구랑 마실 새콤달콤한 럼 추천 부탁해.,높은,럼,새콤달콤한
가볍고 새콤한 럼 한 잔 하고 싶어요.,중간,럼,새콤한
나는 달달한 럼이(가) 좋아.,높은,럼,달달한
나는 달달한 칵테일이(가) 좋아.,중간,칵테일,달달한
나는 달달한 칵테일이(가) 좋아.,낮은,칵테일,달달한
친구랑 마실 쓴맛 보드카 추천 부탁해.,높은,보드카,쓴맛
친구랑 마실 상쾌한 보드카 추천 부탁해.,높은,보드카,상쾌한
친구랑 마실 달달한 칵테일 추천 부탁해.,높은,칵테일,달달한
나는 새콤한 칵테일이(가) 좋아.,낮은,칵테일,새콤한
가볍고 달달한 칵테일 한 잔 하고 싶어요.,높은,칵테일,달달한
럼 중에서 새콤한 맛이 나는 걸 찾고 있어.,높은,럼,새콤한
친구랑 마실 달콤한 럼 추천 부탁해.,중간,럼,달콤한
가볍고 상쾌한 보드카 한 잔 하고 싶어요.,낮은,보드카,상쾌한
가볍고 상쾌한 칵테일 한 잔 하고 싶어요.,높은,칵테일,상쾌한
낮은 보드카 중에서 새콤한 맛이 최고야.,낮은,보드카,새콤한
가볍고 쓴맛 칵테일 한 잔 하고 싶어요.,높은,칵테일,쓴맛
가볍고 달달한 럼 한 잔 하고 싶어요.,낮은,럼,달달한
높은 보드카 중에서 상쾌한 맛이 최고야.,높은,보드카,상쾌한
보드카 중에서 달달한 맛이 나는 걸 찾고 있어.,중간,보드카,달달한
친구랑 마실 달콤한 럼 추천 부탁해.,중간,럼,달콤한
나는 쓴맛 럼이(가) 좋아.,낮은,럼,쓴맛
친구랑 마실 새콤한 보드카 추천 부탁해.,중간,보드카,새콤한
가볍고 상쾌한 칵테일 한 잔 하고 싶어요.,높은,칵테일,상쾌한
높은 보드카 중에서 상쾌한 맛이 최고야.,높은,보드카,상쾌한
친구랑 마실 쓴맛 럼 추천 부탁해.,높은,럼,쓴맛
중간 칵테일 중에서 상쾌한 맛이 최고야.,중간,칵테일,상쾌한
럼 중에서 새콤한 맛이 나는 걸 찾고 있어.,낮은,럼,새콤한
낮은 럼 중에서 새콤달콤한 맛이 최고야.,낮은,럼,새콤달콤한
높은 칵테일 중에서 상쾌한 맛이 최고야.,높은,칵테일,상쾌한
친구랑 마실 달달한 럼 추천 부탁해.,높은,럼,달달한
친구랑 마실 상쾌한 보드카 추천 부탁해.,낮은,보드카,상쾌한
친구랑 마실 달달한 칵테일 추천 부탁해.,낮은,칵테일,달달한
높은 럼 중에서 쓴맛 맛이 최고야.,높은,럼,쓴맛
도수가 중간 달콤한 칵테일 추천해줘.,중간,칵테일,달콤한
도수가 중간 쓴맛 보드카 추천해줘.,중간,보드카,쓴맛
럼 중에서 새콤한 맛이 나는 걸 찾고 있어.,중간,럼,새콤한
가볍고 새콤한 보드카 한 잔 하고 싶어요.,중간,보드카,새콤한
가볍고 쓴맛 럼 한 잔 하고 싶어요.,높은,럼,쓴맛
도수가 높은 달달한 럼 추천해줘.,높은,럼,달달한
높은 칵테일 중에서 새콤한 맛이 최고야.,높은,칵테일,새콤한
낮은 칵테일 중에서 새콤한 맛이 최고야.,낮은,칵테일,새콤한
럼 중에서 달콤한 맛이 나는 걸 찾고 있어.,높은,럼,달콤한
도수가 높은 쓴맛 칵테일 추천해줘.,높은,칵테일,쓴맛
친구랑 마실 쓴맛 럼 추천 부탁해.,높은,럼,쓴맛
낮은 럼 중에서 달콤한 맛이 최고야.,낮은,럼,달콤한
친구랑 마실 달콤한 럼 추천 부탁해.,높은,럼,달콤한
럼 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,중간,럼,새콤달콤한
낮은 럼 중에서 상쾌한 맛이 최고야.,낮은,럼,상쾌한
보드카 중에서 달달한 맛이 나는 걸 찾고 있어.,낮은,보드카,달달한
도수가 높은 쓴맛 럼 추천해줘.,높은,럼,쓴맛
럼 중에서 상쾌한 맛이 나는 걸 찾고 있어.,낮은,럼,상쾌한
칵테일 중에서 쓴맛 맛이 나는 걸 찾고 있어.,중간,칵테일,쓴맛
도수가 중간 달콤한 보드카 추천해줘.,중간,보드카,달콤한
친구랑 마실 새콤한 칵테일 추천 부탁해.,중간,칵테일,새콤한
나는 새콤달콤한 보드카이(가) 좋아.,높은,보드카,새콤달콤한
친구랑 마실 달달한 럼 추천 부탁해.,낮은,럼,달달한
가볍고 달콤한 럼 한 잔 하고 싶어요.,높은,럼,달콤한
친구랑 마실 상쾌한 럼 추천 부탁해.,낮은,럼,상쾌한
나는 달달한 럼이(가) 좋아.,높은,럼,달달한
나는 쓴맛 럼이(가) 좋아.,중간,럼,쓴맛
도수가 중간 쓴맛 보드카 추천해줘.,중간,보드카,쓴맛
나는 상쾌한 보드카이(가) 좋아.,중간,보드카,상쾌한
친구랑 마실 새콤한 칵테일 추천 부탁해.,높은,칵테일,새콤한
나는 쓴맛 보드카이(가) 좋아.,낮은,보드카,쓴맛
나는 달콤한 보드카이(가) 좋아.,중간,보드카,달콤한
나는 달콤한 보드카이(가) 좋아.,높은,보드카,달콤한
높은 보드카 중에서 새콤달콤한 맛이 최고야.,높은,보드카,새콤달콤한
낮은 보드카 중에서 새콤달콤한 맛이 최고야.,낮은,보드카,새콤달콤한
보드카 중에서 달달한 맛이 나는 걸 찾고 있어.,낮은,보드카,달달한
칵테일 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,중간,칵테일,새콤달콤한
친구랑 마실 새콤달콤한 럼 추천 부탁해.,중간,럼,새콤달콤한
나는 새콤달콤한 럼이(가) 좋아.,높은,럼,새콤달콤한
높은 칵테일 중에서 상쾌한 맛이 최고야.,높은,칵테일,상쾌한
나는 상쾌한 럼이(가) 좋아.,낮은,럼,상쾌한
나는 새콤한 럼이(가) 좋아.,높은,럼,새콤한
도수가 높은 새콤달콤한 럼 추천해줘.,높은,럼,새콤달콤한
낮은 보드카 중에서 새콤한 맛이 최고야.,낮은,보드카,새콤한
럼 중에서 상쾌한 맛이 나는 걸 찾고 있어.,낮은,럼,상쾌한
높은 칵테일 중에서 상쾌한 맛이 최고야.,높은,칵테일,상쾌한
낮은 보드카 중에서 새콤한 맛이 최고야.,낮은,보드카,새콤한
중간 럼 중에서 새콤달콤한 맛이 최고야.,중간,럼,새콤달콤한
도수가 중간 달콤한 칵테일 추천해줘.,중간,칵테일,달콤한
나는 새콤달콤한 럼이(가) 좋아.,낮은,럼,새콤달콤한
나는 쓴맛 보드카이(가) 좋아.,중간,보드카,쓴맛
친구랑 마실 쓴맛 럼 추천 부탁해.,낮은,럼,쓴맛
중간 보드카 중에서 상쾌한 맛이 최고야.,중간,보드카,상쾌한
나는 달콤한 칵테일이(가) 좋아.,낮은,칵테일,달콤한
가볍고 달콤한 칵테일 한 잔 하고 싶어요.,낮은,칵테일,달콤한
가볍고 상쾌한 럼 한 잔 하고 싶어요.,중간,럼,상쾌한
가볍고 새콤달콤한 럼 한 잔 하고 싶어요.,중간,럼,새콤달콤한
가볍고 쓴맛 칵테일 한 잔 하고 싶어요.,높은,칵테일,쓴맛
가볍고 상쾌한 보드카 한 잔 하고 싶어요.,낮은,보드카,상쾌한
럼 중에서 쓴맛 맛이 나는 걸 찾고 있어.,중간,럼,쓴맛
칵테일 중에서 새콤한 맛이 나는 걸 찾고 있어.,높은,칵테일,새콤한
가볍고 상쾌한 칵테일 한 잔 하고 싶어요.,중간,칵테일,상쾌한
중간 보드카 중에서 상쾌한 맛이 최고야.,중간,보드카,상쾌한
낮은 칵테일 중에서 상쾌한 맛이 최고야.,낮은,칵테일,상쾌한
친구랑 마실 쓴맛 칵테일 추천 부탁해.,낮은,칵테일,쓴맛
나는 상쾌한 럼이(가) 좋아.,높은,럼,상쾌한
높은 럼 중에서 새콤달콤한 맛이 최고야.,높은,럼,새콤달콤한
친구랑 마실 쓴맛 럼 추천 부탁해.,낮은,럼,쓴맛
가볍고 새콤한 럼 한 잔 하고 싶어요.,중간,럼,새콤한
가볍고 달달한 칵테일 한 잔 하고 싶어요.,중간,칵테일,달달한
친구랑 마실 새콤달콤한 럼 추천 부탁해.,낮은,럼,새콤달콤한
친구랑 마실 달달한 칵테일 추천 부탁해.,중간,칵테일,달달한
나는 쓴맛 칵테일이(가) 좋아.,낮은,칵테일,쓴맛
가볍고 상쾌한 럼 한 잔 하고 싶어요.,낮은,럼,상쾌한
나는 새콤한 럼이(가) 좋아.,높은,럼,새콤한
나는 달달한 칵테일이(가) 좋아.,낮은,칵테일,달달한
친구랑 마실 달달한 럼 추천 부탁해.,중간,럼,달달한
보드카 중에서 상쾌한 맛이 나는 걸 찾고 있어.,높은,보드카,상쾌한
보드카 중에서 달콤한 맛이 나는 걸 찾고 있어.,중간,보드카,달콤한
높은 보드카 중에서 쓴맛 맛이 최고야.,높은,보드카,쓴맛
럼 중에서 쓴맛 맛이 나는 걸 찾고 있어.,낮은,럼,쓴맛
나는 새콤달콤한 보드카이(가) 좋아.,높은,보드카,새콤달콤한
높은 칵테일 중에서 새콤한 맛이 최고야.,높은,칵테일,새콤한
나는 새콤달콤한 보드카이(가) 좋아.,높은,보드카,새콤달콤한
나는 상쾌한 칵테일이(가) 좋아.,높은,칵테일,상쾌한
나는 달콤한 칵테일이(가) 좋아.,낮은,칵테일,달콤한
나는 상쾌한 럼이(가) 좋아.,낮은,럼,상쾌한
가볍고 상쾌한 보드카 한 잔 하고 싶어요.,중간,보드카,상쾌한
높은 보드카 중에서 상쾌한 맛이 최고야.,높은,보드카,상쾌한
가볍고 상쾌한 보드카 한 잔 하고 싶어요.,높은,보드카,상쾌한
도수가 중간 상쾌한 칵테일 추천해줘.,중간,칵테일,상쾌한
가볍고 달콤한 럼 한 잔 하고 싶어요.,높은,럼,달콤한
낮은 럼 중에서 달콤한 맛이 최고야.,낮은,럼,달콤한
친구랑 마실 새콤한 럼 추천 부탁해.,낮은,럼,새콤한
도수가 중간 새콤달콤한 럼 추천해줘.,중간,럼,새콤달콤한
보드카 중에서 쓴맛 맛이 나는 걸 찾고 있어.,높은,보드카,쓴맛
도수가 중간 달달한 칵테일 추천해줘.,중간,칵테일,달달한
나는 쓴맛 보드카이(가) 좋아.,중간,보드카,쓴맛
나는 쓴맛 럼이(가) 좋아.,낮은,럼,쓴맛
낮은 칵테일 중에서 상쾌한 맛이 최고야.,낮은,칵테일,상쾌한
칵테일 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,낮은,칵테일,새콤달콤한
도수가 중간 새콤한 칵테일 추천해줘.,중간,칵테일,새콤한
낮은 보드카 중에서 새콤한 맛이 최고야.,낮은,보드카,새콤한
낮은 럼 중에서 달달한 맛이 최고야.,낮은,럼,달달한
보드카 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,높은,보드카,새콤달콤한
나는 쓴맛 칵테일이(가) 좋아.,낮은,칵테일,쓴맛
친구랑 마실 상쾌한 럼 추천 부탁해.,낮은,럼,상쾌한
도수가 높은 상쾌한 럼 추천해줘.,높은,럼,상쾌한
칵테일 중에서 달달한 맛이 나는 걸 찾고 있어.,낮은,칵테일,달달한
도수가 높은 새콤달콤한 럼 추천해줘.,높은,럼,새콤달콤한
럼 중에서 상쾌한 맛이 나는 걸 찾고 있어.,높은,럼,상쾌한
나는 달콤한 보드카이(가) 좋아.,중간,보드카,달콤한
친구랑 마실 쓴맛 보드카 추천 부탁해.,중간,보드카,쓴맛
친구랑 마실 상쾌한 보드카 추천 부탁해.,중간,보드카,상쾌한
친구랑 마실 상쾌한 럼 추천 부탁해.,높은,럼,상쾌한
가볍고 새콤한 칵테일 한 잔 하고 싶어요.,중간,칵테일,새콤한
중간 보드카 중에서 새콤달콤한 맛이 최고야.,중간,보드카,새콤달콤한
친구랑 마실 새콤달콤한 보드카 추천 부탁해.,낮은,보드카,새콤달콤한
중간 보드카 중에서 달달한 맛이 최고야.,중간,보드카,달달한
도수가 높은 새콤달콤한 칵테일 추천해줘.,높은,칵테일,새콤달콤한
높은 럼 중에서 달달한 맛이 최고야.,높은,럼,달달한
가볍고 새콤한 럼 한 잔 하고 싶어요.,높은,럼,새콤한
중간 보드카 중에서 상쾌한 맛이 최고야.,중간,보드카,상쾌한
칵테일 중에서 쓴맛 맛이 나는 걸 찾고 있어.,높은,칵테일,쓴맛
낮은 럼 중에서 새콤달콤한 맛이 최고야.,낮은,럼,새콤달콤한
낮은 럼 중에서 새콤달콤한 맛이 최고야.,낮은,럼,새콤달콤한
가볍고 달달한 보드카 한 잔 하고 싶어요.,중간,보드카,달달한
도수가 중간 상쾌한 럼 추천해줘.,중간,럼,상쾌한
가볍고 상쾌한 칵테일 한 잔 하고 싶어요.,중간,칵테일,상쾌한
나는 상쾌한 보드카이(가) 좋아.,높은,보드카,상쾌한
친구랑 마실 새콤한 럼 추천 부탁해.,중간,럼,새콤한
낮은 보드카 중에서 달달한 맛이 최고야.,낮은,보드카,달달한
낮은 칵테일 중에서 새콤한 맛이 최고야.,낮은,칵테일,새콤한
칵테일 중에서 새콤한 맛이 나는 걸 찾고 있어.,낮은,칵테일,새콤한
도수가 높은 달콤한 럼 추천해줘.,높은,럼,달콤한
친구랑 마실 쓴맛 보드카 추천 부탁해.,중간,보드카,쓴맛
중간 럼 중에서 상쾌한 맛이 최고야.,중간,럼,상쾌한
높은 보드카 중에서 달콤한 맛이 최고야.,높은,보드카,달콤한
가볍고 상쾌한 보드카 한 잔 하고 싶어요.,낮은,보드카,상쾌한
친구랑 마실 달달한 보드카 추천 부탁해.,중간,보드카,달달한
럼 중에서 쓴맛 맛이 나는 걸 찾고 있어.,중간,럼,쓴맛
도수가 높은 달콤한 칵테일 추천해줘.,높은,칵테일,달콤한
친구랑 마실 쓴맛 칵테일 추천 부탁해.,낮은,칵테일,쓴맛
보드카 중에서 상쾌한 맛이 나는 걸 찾고 있어.,중간,보드카,상쾌한
가볍고 달달한 칵테일 한 잔 하고 싶어요.,높은,칵테일,달달한
럼 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,낮은,럼,새콤달콤한
친구랑 마실 쓴맛 칵테일 추천 부탁해.,높은,칵테일,쓴맛
칵테일 중에서 상쾌한 맛이 나는 걸 찾고 있어.,낮은,칵테일,상쾌한
칵테일 중에서 달콤한 맛이 나는 걸 찾고 있어.,중간,칵테일,달콤한
친구랑 마실 새콤한 칵테일 추천 부탁해.,높은,칵테일,새콤한
낮은 럼 중에서 달콤한 맛이 최고야.,낮은,럼,달콤한
보드카 중에서 달달한 맛이 나는 걸 찾고 있어.,중간,보드카,달달한
도수가 높은 상쾌한 칵테일 추천해줘.,높은,칵테일,상쾌한
도수가 높은 새콤달콤한 보드카 추천해줘.,높은,보드카,새콤달콤한
가볍고 달달한 칵테일 한 잔 하고 싶어요.,중간,칵테일,달달한
낮은 칵테일 중에서 쓴맛 맛이 최고야.,낮은,칵테일,쓴맛
도수가 높은 상쾌한 럼 추천해줘.,높은,럼,상쾌한
높은 럼 중에서 새콤한 맛이 최고야.,높은,럼,새콤한
나는 새콤한 보드카이(가) 좋아.,중간,보드카,새콤한
높은 럼 중에서 상쾌한 맛이 최고야.,높은,럼,상쾌한
도수가 중간 달달한 럼 추천해줘.,중간,럼,달달한
도수가 높은 달콤한 보드카 추천해줘.,높은,보드카,달콤한
친구랑 마실 쓴맛 칵테일 추천 부탁해.,중간,칵테일,쓴맛
나는 상쾌한 칵테일이(가) 좋아.,낮은,칵테일,상쾌한
친구랑 마실 달달한 보드카 추천 부탁해.,높은,보드카,달달한
가볍고 새콤달콤한 칵테일 한 잔 하고 싶어요.,높은,칵테일,새콤달콤한
칵테일 중에서 새콤달콤한 맛이 나는 걸 찾고 있어.,중간,칵테일,새콤달콤한
높은 칵테일 중에서 새콤한 맛이 최고야.,높은,칵테일,새콤한
높은 럼 중에서 달달한 맛이 최고야.,높은,럼,달달한
도수가 높은 달콤한 칵테일 추천해줘.,높은,칵테일,달콤한
칵테일 중에서 쓴맛 맛이 나는 걸 찾고 있어.,낮은,칵테일,쓴맛
높은 칵테일 중에서 달콤한 맛이 최고야.,높은,칵테일,달콤한
가볍고 달콤한 럼 한 잔 하고 싶어요.,낮은,럼,달콤한
친구랑 마실 새콤한 럼 추천 부탁해.,중간,럼,새콤한
중간 럼 중에서 새콤달콤한 맛이 최고야.,중간,럼,새콤달콤한
가볍고 달달한 칵테일 한 잔 하고 싶어요.,낮은,칵테일,달달한
낮은 럼 중에서 쓴맛 맛이 최고야.,낮은,럼,쓴맛
친구랑 마실 상쾌한 칵테일 추천 부탁해.,중간,칵테일,상쾌한
나는 쓴맛 칵테일이(가) 좋아.,낮은,칵테일,쓴맛
보드카 중에서 상쾌한 맛이 나는 걸 찾고 있어.,중간,보드카,상쾌한
낮은 칵테일 중에서 달콤한 맛이 최고야.,낮은,칵테일,달콤한
럼 중에서 달달한 맛이 나는 걸 찾고 있어.,중간,럼,달달한
나는 새콤한 럼이(가) 좋아.,높은,럼,새콤한
중간 보드카 중에서 달콤한 맛이 최고야.,중간,보드카,달콤한
나는 달달한 보드카이(가) 좋아.,중간,보드카,달달한
친구랑 마실 새콤한 보드카 추천 부탁해.,낮은,보드카,새콤한
중간 칵테일 중에서 달콤한 맛이 최고야.,중간,칵테일,달콤한
나는 달달한 럼이(가) 좋아.,높은,럼,달달한
친구랑 마실 달콤한 보드카 추천 부탁해.,낮은,보드카,달콤한
가볍고 새콤한 보드카 한 잔 하고 싶어요.,낮은,보드카,새콤한
럼 중에서 쓴맛 맛이 나는 걸 찾고 있어.,중간,럼,쓴맛
보드카 중에서 달콤한 맛이 나는 걸 찾고 있어.,낮은,보드카,달콤한
가볍고 새콤달콤한 보드카 한 잔 하고 싶어요.,높은,보드카,새콤달콤한
친구랑 마실 쓴맛 보드카 추천 부탁해.,중간,보드카,쓴맛
친구랑 마실 달달한 럼 추천 부탁해.,중간,럼,달달한
가볍고 달달한 럼 한 잔 하고 싶어요.,높은,럼,달달한
낮은 럼 중에서 달콤한 맛이 최고야.,낮은,럼,달콤한
도수가 중간 상쾌한 럼 추천해줘.,중간,럼,상쾌한
나는 새콤달콤한 보드카이(가) 좋아.,중간,보드카,새콤달콤한
친구랑 마실 새콤한 보드카 추천 부탁해.,낮은,보드카,새콤한
도수가 낮은 달콤한 럼 추천해줘.,낮은,럼,달콤한
중간 럼 중에서 새콤한 맛이 최고야.,중간,럼,새콤한
나는 새콤달콤한 럼이(가) 좋아.,중간,럼,새콤달콤한
도수가 낮은 상쾌한 칵테일 추천해줘.,낮은,칵테일,상쾌한
도수가 낮은 새콤달콤한 보드카 추천해줘.,낮은,보드카,새콤달콤한
친구랑 마실 쓴맛 보드카 추천 부탁해.,높은,보드카,쓴맛
도수가 높은 새콤한 칵테일 추천해줘.,높은,칵테일,새콤한
친구랑 마실 새콤한 럼 추천 부탁해.,높은,럼,새콤한
친구랑 마실 상쾌한 보드카 추천 부탁해.,중간,보드카,상쾌한
낮은 칵테일 중에서 달달한 맛이 최고야.,낮은,칵테일,달달한
